class,difficulty,helpfulness,professor,date
BIO152,4,2,Caleb Rounds,2024-11-20
BIO151,4,1,Caleb Rounds,2024-11-18
BIO152,3,4,Caleb Rounds,2024-11-18
BIO152,4,1,Caleb Rounds,2024-11-13
BIO151,4,2,Caleb Rounds,2024-11-11
BIO151,3,4,Caleb Rounds,2024-10-29
BIO151,4,2,Caleb Rounds,2024-10-24
BIO151,4,2,Caleb Rounds,2024-10-22
BIO152,3,4,Caleb Rounds,2024-09-18
BIO152,3,4,Caleb Rounds,2024-06-06
BIO152,3,5,Caleb Rounds,2024-05-24
BIO152,2,4,Caleb Rounds,2024-05-23
BIOLOGY285,4,3,Caleb Rounds,2024-05-16
BIO285,4,2,Caleb Rounds,2024-05-14
BIO152,4,1,Caleb Rounds,2024-05-11
BIO152,5,1,Caleb Rounds,2024-05-11
BIOLOGY285,3,5,Caleb Rounds,2024-05-10
BIO152,2,5,Caleb Rounds,2024-05-02
BIO152,3,5,Caleb Rounds,2024-04-26
BIO151,2,3,Caleb Rounds,2024-04-23
BIO152,3,5,Caleb Rounds,2024-02-12
BIO151,3,4,Caleb Rounds,2024-01-25
BIO152,3,2,Caleb Rounds,2023-12-21
BIO152,2,5,Caleb Rounds,2023-12-21
BIO151,3,2,Caleb Rounds,2023-12-15
BIO151,3,5,Caleb Rounds,2023-12-14
BIO161H,3,5,Caleb Rounds,2023-12-14
BIO151,4,5,Caleb Rounds,2023-12-08
BIO151,3,5,Caleb Rounds,2023-11-22
BIO151,3,5,Caleb Rounds,2023-11-15
BIO151,3,5,Caleb Rounds,2023-11-13
BIO152,3,4,Caleb Rounds,2023-10-25
BIO152,2,5,Caleb Rounds,2023-06-03
BIO152,4,5,Caleb Rounds,2023-06-01
BIO152,2,4,Caleb Rounds,2023-05-29
BIOLOGY285,3,5,Caleb Rounds,2023-05-26
BIO285,3,5,Caleb Rounds,2023-05-21
BIO152,3,5,Caleb Rounds,2023-05-04
BIO152,3,5,Caleb Rounds,2023-04-25
BIO152,4,3,Caleb Rounds,2023-04-12
BIO151,4,1,Caleb Rounds,2023-03-30
BIO152,3,4,Caleb Rounds,2023-03-08
BIO152,3,5,Caleb Rounds,2023-02-16
BIO152BIO285,2,5,Caleb Rounds,2023-02-06
BIO151,4,3,Caleb Rounds,2023-01-21
BIO161H,4,4,Caleb Rounds,2023-01-17
BIO161H,3,5,Caleb Rounds,2023-01-11
BIO161H,3,4,Caleb Rounds,2023-01-10
BIO151,3,4,Caleb Rounds,2022-12-26
BIO151,2,5,Caleb Rounds,2022-12-14
151,3,5,Caleb Rounds,2022-12-03
BIO151,3,5,Caleb Rounds,2022-11-30
151,5,3,Caleb Rounds,2022-11-07
151,3,5,Caleb Rounds,2022-10-27
BIO152,4,5,Caleb Rounds,2022-10-26
BIO151,5,1,Caleb Rounds,2022-10-03
BIOLOGY285,4,4,Caleb Rounds,2022-07-02
BIOLOGY152,4,4,Caleb Rounds,2022-07-02
BIO151,4,4,Caleb Rounds,2022-05-18
151,3,4,Caleb Rounds,2022-05-11
BIO152,5,2,Caleb Rounds,2022-05-08
BIO152,3,5,Caleb Rounds,2022-04-30
BIO151,3,5,Caleb Rounds,2022-04-21
BIO161H,4,2,Caleb Rounds,2022-04-14
BIO151,4,5,Caleb Rounds,2022-04-01
BIO152,4,4,Caleb Rounds,2022-03-30
BIO151,4,2,Caleb Rounds,2022-01-23
BIO151,4,4,Caleb Rounds,2022-01-21
BIO151,4,4,Caleb Rounds,2022-01-14
BIO151,4,5,Caleb Rounds,2021-12-19
BIO151,4,5,Caleb Rounds,2021-12-19
BIO151,4,1,Caleb Rounds,2021-12-15
BIO161H,4,4,Caleb Rounds,2021-12-13
BIOLOGY151,5,2,Caleb Rounds,2021-12-13
BIO161H,4,2,Caleb Rounds,2021-12-13
BIO151,5,3,Caleb Rounds,2021-12-09
BIO161H,4,3,Caleb Rounds,2021-12-09
BIO161,5,3,Caleb Rounds,2021-12-09
BIO151,4,3,Caleb Rounds,2021-12-08
BIOLOGY151,5,2,Caleb Rounds,2021-12-08
BIO161,2,1,Caleb Rounds,2021-12-07
BIO151,4,3,Caleb Rounds,2021-12-02
BIOLOGY151,5,1,Caleb Rounds,2021-12-02
BIO151,4,5,Caleb Rounds,2021-11-21
BIO151,5,1,Caleb Rounds,2021-11-15
BIO151,4,2,Caleb Rounds,2021-11-01
BIO152,4,4,Caleb Rounds,2021-08-18
BIO152,3,3,Caleb Rounds,2021-05-24
BIO152,4,1,Caleb Rounds,2021-05-19
BIOLOGY152,5,1,Caleb Rounds,2021-05-12
BIO152,3,5,Caleb Rounds,2021-05-09
BIO152,4,5,Caleb Rounds,2021-05-03
BIOLOGY152,4,5,Caleb Rounds,2021-04-06
BIOLOGY285,4,2,Caleb Rounds,2021-04-01
BIO285,4,2,Caleb Rounds,2021-03-16
BIO151,1,5,Caleb Rounds,2021-01-05
BIO151,3,4,Caleb Rounds,2020-12-19
BIO151,5,5,Caleb Rounds,2020-12-08
BIO161,3,4,Caleb Rounds,2020-11-27
BIO151,3,5,Caleb Rounds,2020-11-22
BIO151,4,4,Caleb Rounds,2020-11-20
BIO151,3,3,Caleb Rounds,2020-11-16
BIO151,4,3,Caleb Rounds,2020-11-15
BIO151,4,1,Caleb Rounds,2020-11-13
BIO151,4,2,Caleb Rounds,2020-09-03
BIO152,3,4,Caleb Rounds,2020-05-31
BIO152,3,5,Caleb Rounds,2020-05-19
BIO152,3,5,Caleb Rounds,2020-05-14
BIO152,4,2,Caleb Rounds,2020-05-08
BIO151,3,5,Caleb Rounds,2020-04-22
BIO151,4,3,Caleb Rounds,2020-03-17
BIO151,3,4,Caleb Rounds,2020-01-25
BIO151,5,3,Caleb Rounds,2020-01-12
BIO151,3,5,Caleb Rounds,2019-12-21
BIO151,3,5,Caleb Rounds,2019-12-14
BIO151,3,4,Caleb Rounds,2019-11-18
BIO151,3,3,Caleb Rounds,2019-11-07
BIOLOGY151,4,4,Caleb Rounds,2019-05-14
BIO152,5,3,Caleb Rounds,2019-05-12
BIO152,5,2,Caleb Rounds,2019-04-25
BIO152,3,4,Caleb Rounds,2019-04-11
BIO152,3,4,Caleb Rounds,2019-04-09
BIO152,4,3,Caleb Rounds,2019-04-05
BIO152,3,4,Caleb Rounds,2019-04-02
BIO153,4,3,Caleb Rounds,2019-03-20
BIOLOGY152,5,1,Caleb Rounds,2019-01-30
BIO151,4,2,Caleb Rounds,2018-12-28
BIO153,4,4,Caleb Rounds,2018-12-27
BIO151,1,1,Caleb Rounds,2018-12-19
BIO151,4,4,Caleb Rounds,2018-12-06
BIO151,3,5,Caleb Rounds,2018-11-13
BIO151,5,1,Caleb Rounds,2018-11-03
BIO152,3,3,Caleb Rounds,2018-10-09
BIO151,4,2,Caleb Rounds,2018-10-07
BIO152,3,4,Caleb Rounds,2018-07-22
BIO151,4,5,Caleb Rounds,2018-07-05
BIO152,3,4,Caleb Rounds,2018-06-21
BIO152,4,4,Caleb Rounds,2018-05-15
BIO152,5,4,Caleb Rounds,2018-04-27
BIO152,3,5,Caleb Rounds,2018-04-08
BIO153,3,4,Caleb Rounds,2018-04-06
BIO152,4,5,Caleb Rounds,2018-04-06
BIO152,4,4,Caleb Rounds,2018-03-23
BIO151,4,5,Caleb Rounds,2018-02-09
BIO151,3,3,Caleb Rounds,2018-01-07
BIO151,4,5,Caleb Rounds,2018-01-02
BIO151,4,5,Caleb Rounds,2017-12-24
BIO151,4,4,Caleb Rounds,2017-12-11
BIO151,5,3,Caleb Rounds,2017-12-08
BIO152,4,5,Caleb Rounds,2017-11-24
BIO151,4,3,Caleb Rounds,2017-11-16
BIO151,3,5,Caleb Rounds,2017-11-07
BIO151,3,4,Caleb Rounds,2017-10-26
BIO152,3,4,Caleb Rounds,2017-06-01
BIO152,4,2,Caleb Rounds,2017-05-10
